Date : 2024-11-14 17:18:59
Directory : /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project
Total : 247 files,  40754 codes, 45772 comments, 10845 blanks, all 97371 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        244 |     40,479 |     45,738 |     10,778 |     96,995 |
| Makefile |          3 |        275 |         34 |         67 |        376 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                    |        247 |     40,754 |     45,772 |     10,845 |     97,371 |
| . (Files)                                                                                                                            |          2 |        261 |         33 |         63 |        357 |
| firmware                                                                                                                             |          1 |         14 |          1 |          4 |         19 |
| include                                                                                                                              |        237 |     39,814 |     45,630 |     10,708 |     96,152 |
| include (Files)                                                                                                                      |          2 |         80 |         69 |         18 |        167 |
| include/fmt                                                                                                                          |          4 |      6,309 |      1,048 |      1,171 |      8,528 |
| include/lemlib                                                                                                                       |         18 |        489 |      1,894 |        124 |      2,507 |
| include/lemlib (Files)                                                                                                               |          8 |        139 |        674 |         33 |        846 |
| include/lemlib/chassis                                                                                                               |          3 |        213 |        965 |         30 |      1,208 |
| include/lemlib/logger                                                                                                                |          7 |        137 |        255 |         61 |        453 |
| include/liblvgl                                                                                                                      |        161 |     12,288 |     13,479 |      4,891 |     30,658 |
| include/liblvgl (Files)                                                                                                              |          9 |      3,234 |      1,636 |        609 |      5,479 |
| include/liblvgl/core                                                                                                                 |         15 |      1,448 |      1,826 |        609 |      3,883 |
| include/liblvgl/draw                                                                                                                 |         38 |      1,435 |      1,764 |        838 |      4,037 |
| include/liblvgl/draw (Files)                                                                                                         |         13 |        658 |        838 |        349 |      1,845 |
| include/liblvgl/draw/arm2d                                                                                                           |          1 |         18 |         19 |         15 |         52 |
| include/liblvgl/draw/nxp                                                                                                             |          8 |        286 |        494 |        163 |        943 |
| include/liblvgl/draw/nxp (Files)                                                                                                     |          1 |         16 |         42 |         14 |         72 |
| include/liblvgl/draw/nxp/pxp                                                                                                         |          3 |        110 |        201 |         66 |        377 |
| include/liblvgl/draw/nxp/vglite                                                                                                      |          4 |        160 |        251 |         83 |        494 |
| include/liblvgl/draw/sdl                                                                                                             |         10 |        263 |        259 |        195 |        717 |
| include/liblvgl/draw/stm32_dma2d                                                                                                     |          1 |         29 |         22 |         20 |         71 |
| include/liblvgl/draw/sw                                                                                                              |          4 |        157 |        110 |         77 |        344 |
| include/liblvgl/draw/swm341_dma2d                                                                                                    |          1 |         24 |         22 |         19 |         65 |
| include/liblvgl/extra                                                                                                                |         51 |      2,259 |      4,149 |      1,216 |      7,624 |
| include/liblvgl/extra (Files)                                                                                                        |          1 |         15 |         22 |         12 |         49 |
| include/liblvgl/extra/layouts                                                                                                        |          3 |        215 |        107 |         71 |        393 |
| include/liblvgl/extra/layouts (Files)                                                                                                |          1 |         16 |         19 |         10 |         45 |
| include/liblvgl/extra/layouts/flex                                                                                                   |          1 |         82 |         44 |         27 |        153 |
| include/liblvgl/extra/layouts/grid                                                                                                   |          1 |        117 |         44 |         34 |        195 |
| include/liblvgl/extra/libs                                                                                                           |         15 |        845 |      1,910 |        367 |      3,122 |
| include/liblvgl/extra/libs (Files)                                                                                                   |          1 |         18 |         19 |         10 |         47 |
| include/liblvgl/extra/libs/bmp                                                                                                       |          1 |         13 |         19 |         11 |         43 |
| include/liblvgl/extra/libs/ffmpeg                                                                                                    |          1 |         34 |         51 |         20 |        105 |
| include/liblvgl/extra/libs/freetype                                                                                                  |          1 |         29 |         40 |         15 |         84 |
| include/liblvgl/extra/libs/fsdrv                                                                                                     |          1 |         22 |         19 |         15 |         56 |
| include/liblvgl/extra/libs/gif                                                                                                       |          2 |         71 |         19 |         30 |        120 |
| include/liblvgl/extra/libs/png                                                                                                       |          2 |        450 |      1,436 |        143 |      2,029 |
| include/liblvgl/extra/libs/qrcode                                                                                                    |          2 |         79 |        239 |         72 |        390 |
| include/liblvgl/extra/libs/rlottie                                                                                                   |          1 |         40 |         20 |         16 |         76 |
| include/liblvgl/extra/libs/sjpg                                                                                                      |          3 |         89 |         48 |         35 |        172 |
| include/liblvgl/extra/others                                                                                                         |          8 |        256 |        591 |        198 |      1,045 |
| include/liblvgl/extra/others (Files)                                                                                                 |          1 |         16 |         19 |         10 |         45 |
| include/liblvgl/extra/others/fragment                                                                                                |          1 |         67 |        221 |         52 |        340 |
| include/liblvgl/extra/others/gridnav                                                                                                 |          1 |         21 |         77 |         26 |        124 |
| include/liblvgl/extra/others/ime                                                                                                     |          1 |         52 |         64 |         30 |        146 |
| include/liblvgl/extra/others/imgfont                                                                                                 |          1 |         16 |         30 |         15 |         61 |
| include/liblvgl/extra/others/monkey                                                                                                  |          1 |         35 |         60 |         24 |        119 |
| include/liblvgl/extra/others/msg                                                                                                     |          1 |         30 |         70 |         25 |        125 |
| include/liblvgl/extra/others/snapshot                                                                                                |          1 |         19 |         50 |         16 |         85 |
| include/liblvgl/extra/themes                                                                                                         |          4 |         56 |        111 |         53 |        220 |
| include/liblvgl/extra/themes (Files)                                                                                                 |          1 |         12 |         19 |         10 |         41 |
| include/liblvgl/extra/themes/basic                                                                                                   |          1 |         14 |         28 |         14 |         56 |
| include/liblvgl/extra/themes/default                                                                                                 |          1 |         16 |         34 |         15 |         65 |
| include/liblvgl/extra/themes/mono                                                                                                    |          1 |         14 |         30 |         14 |         58 |
| include/liblvgl/extra/widgets                                                                                                        |         20 |        872 |      1,408 |        515 |      2,795 |
| include/liblvgl/extra/widgets (Files)                                                                                                |          1 |         28 |         19 |         10 |         57 |
| include/liblvgl/extra/widgets/animimg                                                                                                |          1 |         31 |         50 |         23 |        104 |
| include/liblvgl/extra/widgets/calendar                                                                                               |          3 |         68 |        143 |         54 |        265 |
| include/liblvgl/extra/widgets/chart                                                                                                  |          1 |        132 |        266 |         63 |        461 |
| include/liblvgl/extra/widgets/colorwheel                                                                                             |          1 |         41 |         74 |         28 |        143 |
| include/liblvgl/extra/widgets/imgbtn                                                                                                 |          1 |         36 |         71 |         25 |        132 |
| include/liblvgl/extra/widgets/keyboard                                                                                               |          1 |         59 |         97 |         32 |        188 |
| include/liblvgl/extra/widgets/led                                                                                                    |          1 |         34 |         58 |         25 |        117 |
